Suburb,Place_id,commercial.shopping_mall,catering,education,entertainment,healthcare,public_transport,office,natural,total
Abbotsford,511d4f159df61f6240593efc4685fbe642c0f00101f901335d240000000000c00205,1,20,4,6,4,20,20,6,81
Aberfeldie,5104c2f3f7b71c62405947b30d373be142c0f00101f901fc9a240000000000c00205,0,6,4,1,0,0,0,2,13
Aintree,51c04b5fbe6b15624059133b641415dc42c0f00101f9015ef86f0000000000c00205,0,1,2,0,0,19,0,10,32
Aireys inlet,5161a5828a6a03624059056ad6be253b43c0f00101f9013fb0290000000000c00207,0,6,1,0,1,4,0,20,32
Airport west,5195e6a095451c624059cba4e1ef72dc42c0f00101f9015ba3240000000000c00205,1,8,3,1,4,20,0,1,38
Albanvale,5109eef60f9818624059830fcaa07fdf42c0f00101f901e0fb240000000000c00205,2,1,1,0,0,0,0,0,4
Albert park,5188ee62c6c81e6240595df92ccf83ec42c0f00101f9011b7d3b0000000000c00205920314416c62657274205061726b204469737472696374,4,20,20,20,20,20,20,20,144
Albion,5189168f411d1a6240591ce1fe6d60e342c0f00101f901e8f2240000000000c00205,0,5,2,0,0,5,1,3,16
Alexandra,51107a36abbe36624059d76a0f7ba19842c0f00101f9010199260000000000c00207,0,7,4,2,0,0,0,20,33
Alfredton,51e58a411698f9614059ad156d8e73c742c0f00101f90198cb2f0000000000c00205,0,3,3,0,1,0,3,20,30
Allansford,51e2e0777834d3614059d3cfe5176f3143c0f00101f9011735300000000000c00207,0,1,1,0,0,0,0,20,22
Alphington,51b44016fdfc206240598be9f81ee4e342c0f00101f9018c59240000000000c00205,0,5,3,0,1,20,4,20,53
Altona,5107b5dfda091a6240593f0345871bee42c0f00101f90144d9240000000000c00205,0,20,5,0,8,11,11,20,75
Altona east,51e869c020691b6240591ec4ce143aeb42c0c0020592030b416c746f6e612045617374e2032277686f736f6e66697273743a6e65696768626f7572686f6f643a3835373737383839,3,20,20,18,20,20,20,20,141
Altona meadows,5157a4d3041b196240597ce99216d3f042c0f00101f9014dd9240000000000c00205,1,8,4,0,0,4,0,20,37
Altona north,5113e11577b21a62405981abe1c73deb42c0f00101f90140d9240000000000c00205,1,20,5,3,6,20,15,16,86
Anglesea,512acaa5f10b066240592f41576cdd3343c0f00101f90140b0290000000000c00207,0,9,1,0,0,5,1,20,36
Apollo bay,51a95780a569f56140593fec3b759b6043c0f00101f901c7c7290000000000c00207,0,20,1,3,0,5,3,20,52
Ararat,5111ffb0a5c7dd614059eaa6de6465a442c0f00101f901001a300000000000c00207,0,14,10,5,1,16,1,20,67
Ardeer,51cc8d3397a5196240593cc159a54fe342c0f00101f901eaf2240000000000c00205,0,0,2,0,0,0,0,0,2
Armadale,51d09a1f7fa920624059bb7aba5faaed42c0f00101f901328e240000000000c00205,1,9,5,2,1,20,7,1,46
Armstrong creek,512f0d0dd5de0b62405928b27b97f71d43c0f00101f9010f6d330000000000c00205,3,10,4,1,2,15,2,20,57
Ascot (greater bendigo),5167b4fa8f710a624059e80e07ae975a42c0f00103f9014754c52601000000c002089203054173636f74,1,7,4,1,6,20,0,20,59
Ascot vale,51c6c210393d1d624059e975d54d73e342c0f00101f9019397240000000000c00205,0,20,7,0,3,20,2,8,60
Ashburton,51018b57b494226240596e75ef9705ef42c0f00101f901de8d240000000000c00205,0,20,4,0,8,4,3,4,43
Ashwood,51a1f07e814523624059f12dac1befee42c0f00101f901e88d240000000000c00205,0,3,4,0,1,2,0,1,11
Aspendale,51e5a2b5fd4623624059317898f6cd0243c0f00101f90199f3240000000000c00205,0,14,4,0,2,17,1,20,58
Aspendale gardens,511618b2bad5236240599367a89bd50243c0f00101f90197f3240000000000c00205,1,6,1,0,5,17,1,20,51
Attwood,5124ef1cca501c62405957f9afbd60d542c0f00101f901ada8240000000000c00205,0,0,0,0,0,1,1,19,21
Avenel,51b8eb00e374276240591a4e999b6f7342c0f00103f9018422301e00000000c002079203064176656e656c,0,4,1,0,0,3,1,20,29
Avoca,51983446eb28ef614059455a74fc618b42c0f00101f9017b3a2f0000000000c00207,0,2,1,2,0,1,0,20,26
Avondale heights,514ef1b8a8961b6240598775995077e142c0f00101f901a3a8240000000000c00205,0,10,3,0,5,20,3,3,44
Avonsleigh,517d355195002f6240590b7fe1f0ddf542c0f00101f901eb1e250000000000c00208,0,0,0,0,0,0,0,10,10
Axedale,519251afa511106240590cfa1c69ba6442c0f00101f901a6352a0000000000c00208,0,2,1,0,0,0,0,20,23
Bacchus marsh,51bcf8eccaf80d6240594b0cb89d6cd642c0f00101f901b777250000000000c00207,3,20,4,2,6,4,10,20,69
